ticker,exchange,assetType,priceCurrency,startDate,endDate
000001,SHE,Stock,CNY,2007-01-04,2017-03-17
000002,SHE,Stock,CNY,2007-01-04,2017-03-17
000004,SHE,Stock,CNY,2007-01-04,2017-03-17
000005,SHE,Stock,CNY,2007-01-04,2017-03-17
000006,SHE,Stock,CNY,2007-01-04,2017-03-17
000007,SHE,Stock,CNY,2007-01-04,2017-01-13
000008,SHE,Stock,CNY,2007-01-04,2017-03-17
000009,SHE,Stock,CNY,2007-01-05,2017-03-17
000010,SHE,Stock,CNY,2007-02-02,2017-03-17
000011,SHE,Stock,CNY,2007-01-04,2017-03-17
000012,SHE,Stock,CNY,2007-01-04,2017-03-17
000014,SHE,Stock,CNY,2007-01-04,2017-03-17
000016,SHE,Stock,CNY,2007-01-04,2017-03-17
000017,SHE,Stock,CNY,2007-01-22,2017-03-17
000018,SHE,Stock,CNY,2007-01-04,2017-03-17
000019,SHE,Stock,CNY,2007-01-04,2017-03-17
000020,SHE,Stock,CNY,2007-05-18,2017-03-17
000021,SHE,Stock,CNY,2007-01-04,2017-03-17
000022,SHE,Stock,CNY,2007-01-04,2017-03-17
000023,SHE,Stock,CNY,2007-01-04,2017-03-17
000024,SHE,Stock,CNY,2007-01-04,2015-12-07
000025,SHE,Stock,CNY,2007-01-04,2017-03-17
000026,SHE,Stock,CNY,2007-01-04,2017-03-17
000027,SHE,Stock,CNY,2007-01-04,2017-03-17
000028,SHE,Stock,CNY,2007-01-04,2017-03-17
000029,SHE,Stock,CNY,2007-01-04,2016-09-13
000030,SHE,Stock,CNY,2007-01-04,2017-03-17
000031,SHE,Stock,CNY,2007-01-04,2017-03-17
000032,SHE,Stock,CNY,2007-01-04,2017-02-24
000033,SHE,Stock,CNY,2007-01-04,2015-04-29
000034,SHE,Stock,CNY,2007-01-04,2017-03-17
000035,SHE,Stock,CNY,2007-01-16,2017-03-17
000036,SHE,Stock,CNY,2007-01-04,2017-03-17
000037,SHE,Stock,CNY,2007-01-04,2017-03-17
000038,SHE,Stock,CNY,2007-01-04,2017-03-17
000039,SHE,Stock,CNY,2007-01-04,2017-03-17
000040,SHE,Stock,CNY,2007-01-04,2016-11-11
000042,SHE,Stock,CNY,2007-01-04,2016-10-26
000043,SHE,Stock,CNY,2007-01-04,2017-03-17
000045,SHE,Stock,CNY,2007-01-04,2017-03-17
000046,SHE,Stock,CNY,2007-01-04,2017-03-17
000048,SHE,Stock,CNY,2007-01-04,2017-03-17
000049,SHE,Stock,CNY,2007-01-04,2017-03-17
000050,SHE,Stock,CNY,2007-01-04,2016-09-09
000055,SHE,Stock,CNY,2007-01-04,2017-03-17
000056,SHE,Stock,CNY,2007-01-04,2017-03-17
